,company,title
0,Interclypse,Software Engineer
1,Phoenix Recruitment,Full Stack Web Developer
2,"Pinnacle Group, Inc.","Full Stack Developer (Vue.JS, AWS, Spinnaker, Docker, MongoDB, Node.JS, Express.JS)"
3,eTeam,Full Stack Engineer
4,ITC Infotech,Terraform Developer
5,SS&C Technologies,"Software Engineer, Front-End"
6,GameStop,Lead Software Engineer
7,Broadcom Software,Senior Frontend Developer
8,Adobe,"Founding Engineer, Incubator"
9,Open Systems Inc.,Software Developer 4
10,RightWorks,Senior Software Engineer
11,Ampcus Inc,Principal Consultant Java Developer
12,MetroNational,Application Developer - Software Data Engineer
13,Dice,Payments Software Engineer
14,Verdant Infotech Solutions,Software Engineer RoR (Ruby on Rails)
15,Dice,Software Engineer
16,"Aledade, Inc.",Senior Software Engineer II - AI/ML
17,Capital One,"Senior Software Engineer, Back End"
18,"Fathom Management, LLC",Junior IBMi RPG Programmer
19,Episodic,CTO / Head of Engineering (AI & Full-Stack)
20,RemoteWorker CA,Principal Software Engineer - Digital Assets APIs
21,Foot Locker,"Lead Software Engineer, Integrations"
22,Capital One,"Senior Software Engineer, Back End"
23,RemoteWorker US,Hybrid Opportunity for Sitecore Developer in Dallas for our direct client
24,Dice,Senior Full Stack Cloud Developer
25,CrowdStrike,Sr. Software Engineer - Cloud Platform Reliability (Remote)
26,Jobot,Senior React Native Developer
27,CyberCoders,Remote Sr Backend Engineer (Node/AWS/Serverless Architecture)
28,Capital One,"Lead Software Engineer, Front End (React, TypeScript, JavaScript)"
29,Capital One,"Senior Manager, Software Engineering, Back End"
30,Dice,Senior Software Engineer
31,GM Financial,Software Development Engineer III - AI/ML or Gen AI
32,Jobot,Lead Growth Engineer
33,Dice,Fullstack Engineer (Angular)
34,Capital One,"Senior Lead Software Engineer, Front End - IC"
35,Microsoft,Senior Software Engineer - Azure Compute Team
36,Dice,Senior Software Engineer (Python / Django)
37,"Burlington Stores, Inc.",Retail Front End Supervisor - Full-Time
38,"Burlington Stores, Inc.",Retail Front End Supervisor - Full-Time
39,Dice,Alarm/CCTV Programmer
40,"Burlington Stores, Inc.",Retail Front End Supervisor - Full-Time
41,Aha!,Sr. Ruby on Rails Engineer (Security)
42,Aha!,Sr. Ruby on Rails Engineer (Security)
43,Aha!,Sr. Ruby on Rails Engineer (Security)
44,Aha!,Sr. Ruby on Rails Engineer (Security)
45,Aha!,Sr. Ruby on Rails Engineer (Security)
